FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
EZ2Z6TS454M7,Foreign_Exchange Forward GBP NZD 20210116,JFTXFP,false,GBP,false
EZ336SPCZ968,Foreign_Exchange Forward SEK SGD 20210116,JFTXFP,false,SEK,false
EZ336SPCZ968,Foreign_Exchange Forward SEK SGD 20210116,JFTXFP,false,SEK,false
EZ36PV5X3WM0,Foreign_Exchange Forward RON SEK 20210116,JFTXFP,false,SEK,false
EZ36PV5X3WM0,Foreign_Exchange Forward RON SEK 20210116,JFTXFP,false,SEK,false
EZ3740SKL570,Foreign_Exchange Forward GBP ILS 20210116,JFTXFP,false,GBP,false
EZ3740SKL570,Foreign_Exchange Forward GBP ILS 20210116,JFTXFP,false,GBP,false
EZ37QS2XP010,Foreign_Exchange Forward EUR THB 20210116,JFTXFP,false,EUR,false
EZ37QS2XP010,Foreign_Exchange Forward EUR THB 20210116,JFTXFP,false,EUR,false
EZ3D4N0FYMN2,Foreign_Exchange Forward AUD JPY 20210116,JFTXFP,false,AUD,false
EZ3D4N0FYMN2,Foreign_Exchange Forward AUD JPY 20210116,JFTXFP,false,AUD,false
EZ3DLZFC2J51,Foreign_Exchange Forward OMR USD 20210116,JFTXFP,false,USD,false
EZ3DLZFC2J51,Foreign_Exchange Forward OMR USD 20210116,JFTXFP,false,USD,false
EZ3Q2HH3WGL1,Foreign_Exchange Forward CHF NOK 20210116,JFTXFP,false,CHF,false
EZ3Q2HH3WGL1,Foreign_Exchange Forward CHF NOK 20210116,JFTXFP,false,CHF,false
EZ3QG804P3C6,Foreign_Exchange Forward JPY NOK 20210116,JFTXFP,false,NOK,false
EZ3QG804P3C6,Foreign_Exchange Forward JPY NOK 20210116,JFTXFP,false,NOK,false
EZ3RJRC49NB4,Foreign_Exchange Forward AUD CNY 20210116,JFTXFP,false,AUD,false
EZ3RJRC49NB4,Foreign_Exchange Forward AUD CNY 20210116,JFTXFP,false,AUD,false
EZ3RTD3CG4B6,Foreign_Exchange Forward AED USD 20210116,JFTXFP,false,AED,false
EZ3RTD3CG4B6,Foreign_Exchange Forward AED USD 20210116,JFTXFP,false,AED,false
EZ3W89JL7769,Foreign_Exchange Forward EUR PLN 20210116,JFTXFP,false,EUR,false
EZ3W89JL7769,Foreign_Exchange Forward EUR PLN 20210116,JFTXFP,false,EUR,false
EZ41GVCL9662,Foreign_Exchange Forward GBP HKD 20210116,JFTXFP,false,GBP,false
EZ41GVCL9662,Foreign_Exchange Forward GBP HKD 20210116,JFTXFP,false,GBP,false
EZ42PS2BQSR4,Foreign_Exchange Forward CHF JPY 20210116,JFTXFP,false,CHF,false
EZ42PS2BQSR4,Foreign_Exchange Forward CHF JPY 20210116,JFTXFP,false,CHF,false
EZ45CLCC4H26,Foreign_Exchange Forward GBP QAR 20210116,JFTXFP,false,GBP,false
EZ45CLCC4H26,Foreign_Exchange Forward GBP QAR 20210116,JFTXFP,false,GBP,false
EZ45N7JX6F48,Foreign_Exchange Forward JPY THB 20210116,JFTXFP,false,THB,false
EZ45N7JX6F48,Foreign_Exchange Forward JPY THB 20210116,JFTXFP,false,THB,false
EZ47ZZMGYW12,Foreign_Exchange Forward SAR USD 20210116,JFTXFP,false,USD,false
EZ47ZZMGYW12,Foreign_Exchange Forward SAR USD 20210116,JFTXFP,false,USD,false
EZ48M8YPKGJ4,Foreign_Exchange Forward CNY USD 20210116,JFTXFP,false,USD,false
EZ48M8YPKGJ4,Foreign_Exchange Forward CNY USD 20210116,JFTXFP,false,USD,false
EZ48Y7CJHPL4,Foreign_Exchange Forward EUR OMR 20210116,JFTXFP,false,EUR,false
EZ48Y7CJHPL4,Foreign_Exchange Forward EUR OMR 20210116,JFTXFP,false,EUR,false
EZ4DKF13WL17,Foreign_Exchange Forward GBP PLN 20210116,JFTXFP,false,GBP,false
EZ4DKF13WL17,Foreign_Exchange Forward GBP PLN 20210116,JFTXFP,false,GBP,false
EZ4DRCYSJ4V7,Foreign_Exchange Forward AUD USD 20210116,JFTXFP,false,AUD,false
EZ4DRCYSJ4V7,Foreign_Exchange Forward AUD USD 20210116,JFTXFP,false,AUD,false
EZ4P3BJNDSR4,Foreign_Exchange Forward EUR JPY 20210116,JFTXFP,false,EUR,false
EZ4P3BJNDSR4,Foreign_Exchange Forward EUR JPY 20210116,JFTXFP,false,EUR,false
